500
0 8.268,31 0,00 8.268,31 0,00 0
1 2.031,84 23.468,37 2.031,84 23.468,37 0
456 0,02 86.570,44 0,02 86.406,65 -12,985688386799
457 0,06 86.570,62 0,06 86.409,68 -8,12586164443116
458 0,00 86.570,34 0,00 86.408,22 -8,12586164443116
459 0,01 86.570,88 0,01 86.408,09 -8,12586164443116
460 0,09 86.569,80 0,09 86.407,30 -1,47979499062278
461 0,00 86.569,69 0,00 86.404,83 -1,47979499062278
462 0,04 86.570,13 0,04 86.404,75 3,95501998404872
463 0,04 86.570,21 0,04 86.405,69 5,03021558099813
464 0,03 86.570,74 0,03 86.407,13 5,03021558099813
465 0,04 86.570,97 0,04 86.407,71 14,1097796114492
466 0,04 86.570,81 0,04 86.408,50 15,5004622885213
467 0,02 86.570,30 0,02 86.407,51 8,09747642862358
468 0,00 86.570,56 0,00 86.407,00 8,09747642862358
469 0,06 86.570,50 0,06 86.406,43 8,2761149781715
470 0,05 86.570,20 0,05 86.405,33 8,2761149781715
471 0,04 86.570,55 0,04 86.404,65 4,21449890860286
472 0,03 86.570,30 0,03 86.405,01 4,21449890860286
473 0,01 86.569,74 0,01 86.403,61 4,21449890860286
474 -0,03 86.570,23 -0,03 86.405,39 4,21449890860286
475 0,03 86.570,28 0,03 86.403,48 -2,02612700759257
476 0,03 86.571,05 0,03 86.404,91 -5,46893455205116
477 0,00 86.571,60 0,00 86.407,30 0,207117893781373
478 0,06 86.571,35 0,06 86.406,25 0,207117893781373
479 0,00 86.571,66 0,00 86.406,31 -5,6541288113771
480 0,07 86.572,54 0,07 86.406,65 -0,42506845409275
481 0,04 86.572,44 0,04 86.408,88 7,52519762931495
482 0,01 86.573,14 0,01 86.408,36 7,52519762931495
483 0,07 86.572,67 0,07 86.410,52 9,17263029718942
484 0,10 86.572,45 0,10 86.409,94 5,42384610469131
485 0,04 86.572,59 0,04 86.409,67 4,86936080786202
486 0,12 86.572,28 0,12 86.409,62 7,714241882873
487 0,04 86.571,83 0,04 86.408,67 18,6644537647746
488 0,06 86.571,65 0,06 86.407,67 18,6644537647746
489 0,02 86.571,55 0,02 86.407,24 18,6644537647746
490 0,02 86.571,55 0,02 86.407,05 17,4183691088142
491 0,06 86.571,70 0,06 86.407,20 6,18201312312865
492 0,06 86.572,59 0,06 86.408,37 6,18201312312865
493 0,01 86.572,02 0,01 86.409,46 6,18201312312865
494 0,01 86.571,59 0,01 86.407,97 10,075262246985
495 0,01 86.572,55 0,01 86.408,17 -11,3530012790735
496 0,04 86.572,73 0,04 86.410,20 -11,3530012790735
497 0,02 86.572,11 0,02 86.407,11 -6,56004589449011
498 0,02 86.572,33 0,02 86.405,90 -7,74302331365953
499 0,01 86.571,93 0,01 86.404,92 -7,74302331365953
