1000
0 1,00 33.212,20 28.275,37
776 1,49 42.315,55 28.468,37
777 1,49 42.315,55 28.468,37
778 1,49 42.315,55 28.468,37
779 1,49 42.315,55 28.468,37
780 1,49 42.315,55 28.468,37
781 1,49 42.315,55 28.468,37
782 1,49 42.315,55 28.468,37
783 1,49 42.315,55 28.468,37
784 1,49 42.315,55 28.468,37
785 1,49 42.315,55 28.468,37
786 1,49 42.315,55 28.468,37
787 1,49 42.315,55 28.468,37
788 1,49 42.315,55 28.468,37
789 1,49 42.315,55 28.468,37
790 1,49 42.315,55 28.468,37
791 1,49 42.315,55 28.468,37
792 1,49 42.315,55 28.468,37
793 1,49 42.315,55 28.468,37
794 1,49 42.315,55 28.468,37
795 1,49 42.315,55 28.468,37
796 1,49 42.315,55 28.468,37
797 1,49 42.315,55 28.468,37
798 1,49 42.315,55 28.468,37
799 1,49 42.315,55 28.468,37
800 1,49 42.315,55 28.468,37
801 1,49 42.315,55 28.468,37
802 1,49 42.315,55 28.468,37
803 1,49 42.315,55 28.468,37
804 1,49 42.315,55 28.468,37
805 1,49 42.315,55 28.468,37
806 1,49 42.315,55 28.468,37
807 1,49 42.315,55 28.468,37
808 1,49 42.315,55 28.468,37
809 1,49 42.315,55 28.468,37
810 1,49 42.315,55 28.468,37
811 1,49 42.315,55 28.468,37
812 1,49 42.315,55 28.468,37
813 1,49 42.315,55 28.468,37
814 1,49 42.315,55 28.468,37
815 1,49 42.315,55 28.468,37
816 1,49 42.315,55 28.468,37
817 1,49 42.315,55 28.468,37
818 1,49 42.315,55 28.468,37
819 1,49 42.315,55 28.468,37
820 1,49 42.315,55 28.468,37
821 1,49 42.315,55 28.468,37
822 1,49 42.315,55 28.468,37
823 1,49 42.315,55 28.468,37
824 1,49 42.315,55 28.468,37
825 1,49 42.315,55 28.468,37
826 1,49 42.315,55 28.468,37
827 1,49 42.315,55 28.468,37
828 1,49 42.315,55 28.468,37
829 1,49 42.315,55 28.468,37
830 1,49 42.315,55 28.468,37
831 1,49 42.315,55 28.468,37
832 1,49 42.315,55 28.468,37
833 1,49 42.315,55 28.468,37
834 1,49 42.315,55 28.468,37
835 1,49 42.315,55 28.468,37
836 1,49 42.315,55 28.468,37
837 1,49 42.315,55 28.468,37
838 1,49 42.315,55 28.468,37
839 1,49 42.315,55 28.468,37
840 1,49 42.315,55 28.468,37
841 1,49 42.315,58 28.468,37
842 1,49 42.315,58 28.468,37
843 1,49 42.315,58 28.468,37
844 1,49 42.315,58 28.468,37
845 1,49 42.315,58 28.468,37
846 1,49 42.315,58 28.468,37
847 1,49 42.315,58 28.468,37
848 1,49 42.315,58 28.468,37
849 1,49 42.315,58 28.468,37
850 1,49 42.315,58 28.468,37
851 1,49 42.315,58 28.468,37
852 1,49 42.315,58 28.468,37
853 1,49 42.315,58 28.468,37
854 1,49 42.315,58 28.468,37
855 1,49 42.315,58 28.468,37
856 1,49 42.315,58 28.468,37
857 1,49 42.315,58 28.468,37
858 1,49 42.315,58 28.468,37
859 1,49 42.315,58 28.468,37
860 1,49 42.315,58 28.468,37
861 1,49 42.315,58 28.468,37
862 1,49 42.315,58 28.468,37
863 1,49 42.315,58 28.468,37
864 1,49 42.315,58 28.468,37
865 1,49 42.315,58 28.468,37
866 1,49 42.315,58 28.468,37
867 1,49 42.315,58 28.468,37
868 1,49 42.315,58 28.468,37
869 1,49 42.315,58 28.468,37
870 1,49 42.315,58 28.468,37
871 1,49 42.315,53 28.468,37
872 1,49 42.315,53 28.468,37
873 1,49 42.315,53 28.468,37
874 1,49 42.315,53 28.468,37
875 1,49 42.315,49 28.468,37
876 1,49 42.315,49 28.468,37
877 1,49 42.315,49 28.468,37
878 1,49 42.315,49 28.468,37
879 1,49 42.315,49 28.468,37
880 1,49 42.315,49 28.468,37
881 1,49 42.315,49 28.468,37
882 1,49 42.315,49 28.468,37
883 1,49 42.315,49 28.468,37
884 1,49 42.315,49 28.468,37
885 1,49 42.315,49 28.468,37
886 1,49 42.315,49 28.468,37
887 1,49 42.315,49 28.468,37
888 1,49 42.315,49 28.468,37
889 1,49 42.315,49 28.468,37
890 1,49 42.315,49 28.468,37
891 1,49 42.315,49 28.468,37
892 1,49 42.315,49 28.468,37
893 1,49 42.315,49 28.468,37
894 1,49 42.315,49 28.468,37
895 1,49 42.315,49 28.468,37
896 1,49 42.315,49 28.468,37
897 1,49 42.315,49 28.468,37
898 1,49 42.315,49 28.468,37
899 1,49 42.315,49 28.468,37
900 1,49 42.315,49 28.468,37
901 1,49 42.315,49 28.468,37
902 1,49 42.315,49 28.468,37
903 1,49 42.315,49 28.468,37
904 1,49 42.315,49 28.468,37
905 1,49 42.315,49 28.468,37
906 1,49 42.315,49 28.468,37
907 1,49 42.315,49 28.468,37
908 1,49 42.315,49 28.468,37
909 1,49 42.315,49 28.468,37
910 1,49 42.315,49 28.468,37
911 1,49 42.315,49 28.468,37
912 1,49 42.315,49 28.468,37
913 1,49 42.315,49 28.468,37
914 1,49 42.315,49 28.468,37
915 1,49 42.315,49 28.468,37
916 1,49 42.315,49 28.468,37
917 1,49 42.315,49 28.468,37
918 1,49 42.315,49 28.468,37
919 1,49 42.315,49 28.468,37
920 1,49 42.315,49 28.468,37
921 1,49 42.315,49 28.468,37
922 1,49 42.315,49 28.468,37
923 1,49 42.315,49 28.468,37
924 1,49 42.315,49 28.468,37
925 1,49 42.315,49 28.468,37
926 1,49 42.315,49 28.468,37
927 1,49 42.315,49 28.468,37
928 1,49 42.315,49 28.468,37
929 1,49 42.315,49 28.468,37
930 1,49 42.315,49 28.468,37
931 1,49 42.315,49 28.468,37
932 1,49 42.315,49 28.468,37
933 1,49 42.315,49 28.468,37
934 1,49 42.315,49 28.468,37
935 1,49 42.315,49 28.468,37
936 1,49 42.315,49 28.468,37
937 1,49 42.315,49 28.468,37
938 1,49 42.315,49 28.468,37
939 1,49 42.315,49 28.468,37
940 1,49 42.315,49 28.468,37
941 1,49 42.315,49 28.468,37
942 1,49 42.315,49 28.468,37
943 1,49 42.315,49 28.468,37
944 1,49 42.315,49 28.468,37
945 1,49 42.315,49 28.468,37
946 1,49 42.315,49 28.468,37
947 1,49 42.315,49 28.468,37
948 1,49 42.315,49 28.468,37
949 1,49 42.315,49 28.468,37
950 1,49 42.315,49 28.468,37
951 1,49 42.315,49 28.468,37
952 1,49 42.315,49 28.468,37
953 1,49 42.315,49 28.468,37
954 1,49 42.315,49 28.468,37
955 1,49 42.315,49 28.468,37
956 1,49 42.315,49 28.468,37
957 1,49 42.315,49 28.468,37
958 1,49 42.315,49 28.468,37
959 1,49 42.315,49 28.468,37
960 1,49 42.315,49 28.468,37
961 1,49 42.315,49 28.468,37
962 1,49 42.315,49 28.468,37
963 1,49 42.315,49 28.468,37
964 1,49 42.315,49 28.468,37
965 1,49 42.315,49 28.468,37
966 1,49 42.315,49 28.468,37
967 1,49 42.315,49 28.468,37
968 1,49 42.315,49 28.468,37
969 1,49 42.315,49 28.468,37
970 1,49 42.315,49 28.468,37
971 1,49 42.315,49 28.468,37
972 1,49 42.315,49 28.468,37
973 1,49 42.315,49 28.468,37
974 1,49 42.315,49 28.468,37
975 1,49 42.315,49 28.468,37
976 1,49 42.315,49 28.468,37
977 1,49 42.315,49 28.468,37
978 1,49 42.315,49 28.468,37
979 1,49 42.315,49 28.468,37
980 1,49 42.315,49 28.468,37
981 1,49 42.315,49 28.468,37
982 1,49 42.315,49 28.468,37
983 1,49 42.315,49 28.468,37
984 1,49 42.315,49 28.468,37
985 1,49 42.315,49 28.468,37
986 1,49 42.315,49 28.468,37
987 1,49 42.315,49 28.468,37
988 1,49 42.315,49 28.468,37
989 1,49 42.315,49 28.468,37
990 1,49 42.315,49 28.468,37
991 1,49 42.315,49 28.468,37
992 1,49 42.315,49 28.468,37
993 1,49 42.315,49 28.468,37
994 1,49 42.315,49 28.468,37
995 1,49 42.315,49 28.468,37
996 1,49 42.315,49 28.468,37
997 1,49 42.315,49 28.468,37
998 1,49 42.315,49 28.468,37
999 1,49 42.315,49 28.468,37
